City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
506,yagoua,10.3411,15.2329,26.53,17,49,3.48,CM,1675204296
507,perth,-31.9333,115.8333,19.81,65,20,8.75,AU,1675204234
508,brande,55.9381,9.1218,5.09,76,65,10.69,DK,1675204296
509,sao miguel do araguaia,-13.275,-50.1628,23.57,84,21,0.62,BR,1675204297
510,harstad,68.799,16.5293,0.09,100,99,2.24,NO,1675204297
511,presidencia roque saenz pena,-26.7852,-60.4388,32.07,28,11,1.35,AR,1675204298
512,tiznit,29.5833,-9.5,11.34,26,67,6.98,MA,1675204298
513,havoysund,70.9963,24.6622,1.13,83,100,8.48,NO,1675204298
514,paris,48.8534,2.3488,8.1,91,100,4.12,FR,1675204196
515,cancun,21.1743,-86.8466,26.96,74,40,4.12,MX,1675204117
516,hami,42.8,93.45,-4.21,33,97,0.15,CN,1675204299
517,sombrio,-29.1139,-49.6167,24.96,93,65,2.41,BR,1675204299
518,clarence town,-32.5833,151.7833,24.34,60,36,2.78,AU,1675204300
519,woodward,36.4337,-99.3904,-2.43,44,0,2.06,US,1675204300
520,mandalgovi,45.7625,106.2708,-16.0,79,3,1.86,MN,1675204301
521,tamale,9.4008,-0.8393,27.7,11,82,3.07,GH,1675204301
522,ustynivka,47.9551,32.5367,-1.7,95,99,2.17,UA,1675204302
523,mnogovershinnyy,53.9353,139.9242,-28.4,93,15,2.32,RU,1675204302
524,bilibino,68.0546,166.4372,-17.56,96,53,3.0,RU,1675204122
525,catuday,16.2923,119.8062,23.25,73,80,6.07,PH,1675204302
526,bondo,3.8146,23.6866,22.16,46,25,0.72,CD,1675204303
527,kahului,20.8947,-156.47,26.58,78,40,2.06,US,1675204303
528,jishou,28.3167,109.7167,9.97,53,3,0.89,CN,1675204304
529,yenagoa,4.9247,6.2642,25.81,86,35,1.41,NG,1675204305
530,grand forks,47.9417,-97.4337,-16.04,66,20,3.09,US,1675204120
531,lafia,8.4833,8.5167,28.86,17,33,1.56,NG,1675204306
532,san quintin,30.4833,-115.95,13.97,61,34,4.33,MX,1675204200
533,vysokopillya,47.4919,33.5306,-0.97,93,100,1.97,UA,1675204307
534,ambanja,-13.6833,48.45,24.19,92,50,1.42,MG,1675204308
535,la romana,18.4273,-68.9728,26.2,65,75,3.09,DO,1675204051
536,ilulissat,69.2167,-51.1,-14.99,78,75,5.14,GL,1675204134
537,nicoya,10.1483,-85.452,30.2,45,88,5.46,CR,1675204310
538,tsabong,-26.0217,22.401,23.13,66,100,4.5,BW,1675204310
539,felipe carrillo puerto,19.5833,-88.05,24.59,81,60,2.47,MX,1675204311
540,katsuura,35.1333,140.3,7.09,68,11,3.36,JP,1675204312
541,tiarei,-17.5333,-149.3333,29.01,74,7,6.28,PF,1675204313
542,cotofenii din dos,44.4333,23.6167,1.77,82,12,4.6,RO,1675204314
543,prince rupert,54.3161,-130.3201,4.83,91,100,16.46,CA,1675204243
544,gravdal,68.1214,13.5031,-8.06,93,20,1.03,NO,1675204314
545,leh,34.1667,77.5833,-18.08,90,77,1.37,IN,1675204315
546,north bend,43.4065,-124.2243,11.2,80,0,2.06,US,1675204219
